Start,repl8,repl9,rticket,wticket,ocursors,aconn,pf,memo,dd,bytescurrentused,readq,writeq
03:34:36.247087848,0,0,1,0,2,802,5,107,1854955,455051,0,0
03:34:37.350237515,0,0,1,0,2,802,5,107,1854955,455051,0,0
03:34:38.391732515,0,0,1,0,2,802,5,107,1854955,455051,0,0
03:34:39.442730727,0,0,1,0,2,802,5,107,1854955,455051,0,0
03:34:40.468876469,0,0,1,0,2,802,5,107,1854955,455051,0,0
03:34:41.524061511,0,0,1,0,2,802,5,107,1854955,455051,0,0
03:34:42.579543676,8000,0,5,11,2,785,5,122,5208397,13014079,0,0
03:34:43.828179613,9000,1000,8,7,2,785,5,132,8657119,23221197,0,0
03:34:45.042008809,2000,3000,6,11,2,785,5,140,11386141,31556712,0,0
03:34:46.147041961,3000,4000,7,13,2,785,5,147,14113220,38513983,0,0
03:34:47.241159197,3000,4000,8,12,2,785,5,153,16179945,44405137,0,0
03:34:48.329141485,4000,5000,6,13,2,785,5,160,19225137,51776542,0,0
03:34:49.553608471,3000,5000,9,10,2,785,5,166,22470841,58908489,0,0
03:34:50.748807447,3000,4000,5,11,2,785,5,176,25880049,66256926,0,0
03:34:51.920324565,4000,6000,6,10,2,785,5,183,28583907,72379163,0,0
03:34:53.801925189,4000,7000,6,13,2,785,5,187,31147984,78758605,0,0
03:34:55.022588475,4000,8000,7,7,2,785,5,194,34006356,85328611,0,0
03:34:56.202922760,5000,9000,6,11,2,785,5,201,37125763,92026114,0,0
03:34:57.284432168,5000,7000,6,10,2,785,5,206,39265906,96815296,0,0
03:34:58.408653172,6000,8000,6,7,2,785,5,212,41677913,102540384,0,0
03:34:59.474249352,5000,9000,8,9,2,785,5,218,44627253,109228044,0,0
03:35:00.532995632,6000,10000,11,10,2,785,5,223,46767379,114479936,0,0
03:35:01.576615110,5000,9000,9,8,2,785,5,228,48941037,119756293,0,0
03:35:02.736645590,6000,7000,4,13,2,785,5,236,52693013,127578858,0,0
03:35:03.838590776,7000,8000,5,14,2,785,5,239,54744890,131641227,0,0
03:35:04.988829732,6000,9000,6,11,2,785,5,244,57057646,136256813,0,0
03:35:06.094858036,7000,10000,4,0,2,785,5,247,58572870,139421653,0,0
03:35:07.160052253,5000,8000,9,11,2,785,5,251,60530012,144112758,0,0
03:35:08.229975395,6000,9000,8,8,2,785,5,255,62487177,148538463,0,0
03:35:09.290974221,5000,10000,5,11,2,785,5,261,65110512,153637296,0,0
03:35:10.340509145,6000,11000,9,5,2,785,5,266,67618513,159245362,0,0
03:35:11.410819376,4000,10000,6,11,2,785,5,272,71438090,166330330,0,0
03:35:12.542088054,5000,11000,6,10,2,785,5,276,73395256,170607105,0,0
03:35:13.679637262,4000,11000,9,8,2,785,5,281,75306656,174861074,0,0
03:35:14.900858426,4000,13000,4,11,2,785,5,287,79048960,181859442,0,0
03:35:16.113632047,6000,14000,7,8,2,785,5,293,82232092,188026903,0,0
03:35:17.238935530,5000,11000,11,9,2,785,5,299,85444918,194690379,0,0
03:35:18.304896164,6000,12000,8,9,2,785,5,304,88096480,199714789,0,0
03:35:19.419854973,5000,11000,6,11,2,785,5,309,90644586,204581031,0,0
03:35:20.560035407,6000,12000,6,11,2,785,5,315,112307061,212011132,0,0
03:35:21.850133434,6000,13000,5,14,2,785,5,325,116094454,217674058,0,0
03:35:23.026894330,6000,12000,6,8,2,785,5,330,118573880,222204454,0,0
03:35:24.235420681,7000,13000,7,12,2,785,5,336,122055508,228739129,0,0
03:35:25.417635249,5000,14000,7,9,2,785,5,342,125641399,235356229,0,2
03:35:26.716393170,5000,12000,4,11,2,785,5,346,128064714,239324042,0,16
03:35:27.778221382,6000,13000,5,12,2,785,5,348,129495246,241886319,0,0
03:35:28.862675739,5000,13000,9,10,2,785,5,353,132633024,247010524,0,0
03:35:30.370482686,7000,14000,4,13,2,785,5,360,136535302,253829754,0,0
03:35:31.497300223,6000,15000,7,10,2,785,5,366,140198892,260499638,0,0
03:35:32.678019513,4000,16000,6,12,2,785,5,372,143673768,266296994,0,16
03:35:33.825855644,5000,17000,7,10,2,785,5,374,145321915,268892127,0,16
03:35:34.919539421,4000,14000,3,14,2,785,5,378,147691102,273520357,0,0
03:35:36.031747363,6000,15000,6,10,2,785,5,386,152410873,281193495,0,0
03:35:37.119251364,4000,14000,4,14,2,785,5,390,154747476,285227192,0,0
03:35:38.196097044,5000,15000,6,14,2,785,5,394,157861442,290478832,0,0
03:35:39.551107786,5000,16000,4,14,2,785,5,402,162628409,299109827,0,0
03:35:40.595500667,6000,17000,5,13,2,785,5,406,165344443,303455597,0,0
03:35:42.067141451,6000,15000,8,5,2,785,5,413,169354674,309582099,0,0
03:35:43.513020843,5000,16000,8,9,2,785,5,420,174353828,318298237,0,16
03:35:44.591575389,6000,17000,1,9,2,785,5,423,175642460,320718618,0,0
03:35:45.677383280,5000,14000,5,12,2,785,5,428,179236090,326717129,0,16
03:35:46.957322980,5000,14000,6,12,2,785,5,433,182015038,331844692,0,0
