,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,841b,36.9k,6,rs0,SEC,33:53.6,1,0,4,0,0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,262b,34.9k,6,rs0,SEC,33:54.6,1,0,0,0,0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,785b,36.3k,6,rs0,SEC,33:55.6,1,0,3,0,0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,263b,35.0k,6,rs0,SEC,33:56.6,1,0,1,0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,781b,36.1k,6,rs0,SEC,33:57.6,1,0,2,0,0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,263b,35.0k,6,rs0,SEC,33:58.6,1,0,1,0,0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,783b,36.2k,6,rs0,SEC,33:59.6,1,0,3,0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,262b,34.9k,6,rs0,SEC,34:00.6,1,0,0,0,0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,783b,36.2k,6,rs0,SEC,34:01.6,1,0,3,0,0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,321b,35.7k,6,rs0,SEC,34:02.6,1,0,2,0,0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,782b,36.2k,6,rs0,SEC,34:03.6,1,0,2,0,0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,263b,35.0k,6,rs0,SEC,34:04.6,1,0,1,0,0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,782b,36.2k,6,rs0,SEC,34:05.6,1,0,2,0,0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,262b,34.9k,6,rs0,SEC,34:06.6,1,0,0,0,0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,784b,36.3k,6,rs0,SEC,34:07.6,1,0,3,0,0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,263b,35.0k,6,rs0,SEC,34:08.6,1,0,1,0,0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,782b,36.2k,6,rs0,SEC,34:09.6,1,0,2,0,0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,263b,35.0k,6,rs0,SEC,34:10.6,1,0,1,0,0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,781b,36.1k,6,rs0,SEC,34:11.6,1,0,2,0,0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,321b,35.7k,6,rs0,SEC,34:12.6,1,0,2,0,0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,782b,36.2k,6,rs0,SEC,34:13.6,1,0,2,0,0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,262b,34.9k,6,rs0,SEC,34:14.6,1,0,0,0,0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,782b,36.2k,6,rs0,SEC,34:15.6,1,0,2,0,0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,263b,35.0k,6,rs0,SEC,34:16.6,1,0,1,0,0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,782b,36.1k,6,rs0,SEC,34:17.6,1,0,2,0,0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,263b,35.0k,6,rs0,SEC,34:18.6,1,0,1,0,0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,1.90k,41.4k,8,rs0,SEC,34:19.6,1,0,8,0,0,0
