Start,repl8,repl9,rticket,wticket,ocursors,aconn,pf,memo,dd,bytescurrentused,readq,writeq
12:47:52.251388814,0,0,1,0,1,804,0,216,63013107,102660368,0,0
12:47:53.181078298,0,0,1,0,1,804,0,216,63013107,102660368,0,0
12:47:54.104377588,0,0,1,0,1,804,0,216,63013107,102660368,0,0
12:47:55.031195071,0,0,1,0,1,804,0,216,63013107,102660368,0,0
12:47:55.957064696,0,0,1,0,1,804,0,216,63013107,102660368,0,0
12:47:56.875495403,0,0,1,0,1,804,0,216,63013107,102660368,0,0
12:47:57.796768378,0,0,1,0,1,804,0,216,63013107,102660368,0,0
12:47:58.726127480,0,0,1,0,1,804,0,216,63013107,102660577,0,0
12:47:59.653568002,10000,10000,1,0,1,804,0,216,63013107,102660577,0,0
12:48:00.576055630,10000,10000,1,0,1,804,0,216,63013107,102660577,0,0
12:48:01.503945709,0,0,1,0,1,804,0,216,63013107,102660577,0,0
12:48:02.441003269,0,0,1,0,1,804,0,216,63013107,102660577,0,0
12:48:03.368906945,0,0,1,0,1,804,0,216,63013107,102660577,0,0
12:48:04.295009117,0,0,1,0,1,787,0,227,71522120,119594606,0,0
12:48:05.349798922,1000,1000,6,12,1,787,0,247,80937592,138395094,0,0
12:48:06.508645123,2000,2000,6,12,1,787,0,260,89169008,156100806,0,0
12:48:07.714434285,2000,2000,10,10,1,787,0,279,98283110,172749491,0,0
12:48:08.779180337,2000,2000,6,11,1,787,0,291,105929121,186577109,0,0
12:48:09.893763508,3000,4000,3,10,1,787,0,304,113757220,200190464,0,0
12:48:11.089276596,3000,4000,4,10,1,787,0,319,121708543,215289295,0,0
12:48:12.198517664,4000,5000,5,9,1,787,0,331,128959038,228646626,0,0
12:48:13.270439209,4000,5000,9,9,1,787,0,344,136442354,242458783,0,0
12:48:14.371968583,5000,6000,7,8,1,787,0,357,143917761,255916383,0,0
12:48:15.449958285,3000,6000,7,9,1,787,0,369,150684816,268124380,0,0
12:48:16.528723636,4000,7000,4,8,1,787,0,379,157150794,280431805,0,0
12:48:17.635168558,3000,5000,3,14,1,787,0,391,164191032,292740451,0,0
12:48:18.720826497,4000,5000,6,13,1,787,0,403,170814172,304882489,0,0
12:48:19.805277243,3000,6000,4,14,1,787,0,414,177985080,316690551,0,0
12:48:20.890165658,3000,6000,6,8,1,787,0,427,185277667,330662922,0,0
12:48:22.022787241,5000,7000,8,12,1,787,0,441,194307329,346262709,0,0
12:48:23.497210721,4000,6000,2,11,1,787,0,459,204389191,363804136,0,0
12:48:25.025413139,5000,6000,4,13,1,787,0,474,214715494,380940086,0,0
12:48:26.568637732,6000,7000,7,13,1,787,0,490,224917412,397777055,0,0
12:48:27.978893613,6000,6000,10,13,1,787,0,502,232873006,410907816,0,0
12:48:29.017463897,4000,6000,6,8,1,787,0,511,237731680,419533297,0,0
12:48:30.009431832,5000,7000,6,10,1,787,0,521,244172377,429916377,0,0
12:48:30.996478708,5000,6000,5,12,1,787,0,530,250391696,440049837,0,0
12:48:32.003121277,6000,7000,4,10,1,787,0,539,256636337,450211552,0,0
12:48:32.980399837,4000,6000,7,13,1,787,0,548,262599929,459733097,0,0
12:48:33.957853578,4000,7000,7,10,1,787,0,559,269167101,471851565,0,0
12:48:34.968239720,4000,6000,5,12,1,787,0,568,275685611,481568442,0,0
12:48:35.961891592,5000,7000,4,11,1,787,0,578,281961223,491214259,0,0
12:48:36.955482493,4000,6000,8,15,1,787,0,589,288079879,501321964,0,0
12:48:37.934155655,4000,7000,5,13,1,787,0,598,295858401,511543364,0,0
12:48:38.938919848,3000,6000,4,8,1,787,0,607,313213316,520937427,0,0
12:48:39.964352508,5000,7000,4,13,1,787,0,619,325824863,529963301,0,0
12:48:41.006169180,4000,6000,6,13,1,787,0,627,332622710,538888731,0,0
12:48:41.979617933,5000,7000,5,7,1,787,0,637,339746832,548909382,0,0
12:48:43.094526736,4000,7000,1,0,1,787,0,643,342579720,553371961,0,0
12:48:44.101960326,5000,8000,3,9,1,787,0,649,348159969,562153956,0,0
12:48:45.237058746,4000,8000,4,11,1,787,0,661,357883954,575795956,0,0
12:48:46.328558271,5000,9000,5,13,1,787,0,674,368511638,589911441,0,0
12:48:47.590398506,3000,7000,8,8,1,787,0,684,376114934,601074268,0,0
12:48:48.673404907,4000,8000,7,10,1,787,0,694,383574653,611261417,0,0
12:48:49.754904862,3000,6000,5,14,1,787,0,706,390994759,621772873,0,0
12:48:50.787528540,2000,5000,5,10,1,787,0,715,397717581,631843261,0,0
12:48:51.815186695,3000,6000,7,11,1,787,0,724,404891240,641721415,0,0
12:48:52.845937852,2000,6000,5,12,1,787,0,734,412506004,653027620,0,0
12:48:53.891547201,3000,8000,3,9,1,787,0,743,420590224,663819449,0,0
12:48:55.018084734,4000,6000,7,11,1,787,0,754,428647054,674435070,0,0
12:48:56.288459938,5000,7000,6,13,1,787,0,763,436267182,684706068,0,7
12:48:57.324938921,3000,6000,1,0,1,787,0,767,439031951,687971824,0,0
12:48:58.343855905,4000,7000,7,10,1,787,0,774,445349144,698190452,0,0
12:48:59.360007823,4000,5000,8,11,1,787,0,786,453471382,708683629,0,0
12:49:00.605401181,5000,6000,8,12,1,787,0,799,464140193,722367334,0,0
12:49:01.623624013,4000,4000,7,10,1,787,0,807,470680007,733342306,0,0
12:49:02.721148060,5000,5000,5,13,1,787,0,818,478537729,743296469,0,0
12:49:04.021454310,4000,7000,5,10,1,787,0,828,487441324,755136487,0,0
12:49:05.067315043,4000,8000,4,11,1,787,0,835,492868984,762618356,0,0
12:49:06.315587104,5000,9000,7,12,1,787,0,845,501329365,773939682,0,0
12:49:07.367444527,5000,6000,5,7,1,787,0,855,508777832,783899775,0,0
12:49:08.395452588,6000,7000,7,6,1,787,0,865,515784771,794061374,0,16
12:49:09.453444503,4000,7000,1,0,1,787,0,869,518469856,797483526,0,0
12:49:10.461945747,5000,8000,7,8,1,787,0,874,523201568,804662508,0,0
12:49:11.484251923,4000,6000,7,11,1,787,0,885,531496301,816383822,0,0
12:49:12.508820025,5000,7000,9,13,1,787,0,894,538858959,826863502,0,0
12:49:13.534508873,3000,6000,5,10,1,787,0,904,546068014,836542210,0,0
12:49:14.574883962,4000,7000,8,11,1,787,0,911,552591126,845486622,0,0
12:49:15.785872759,3000,5000,7,8,1,787,0,923,561570990,857484802,0,0
12:49:17.260241942,3000,4000,7,9,1,787,0,933,569592892,868483265,0,0
12:49:18.690883545,4000,4000,6,10,1,787,0,945,579228020,881884960,0,0
12:49:19.737560671,3000,5000,6,14,1,787,0,956,588007423,893958386,0,0
12:49:20.827723604,3000,3000,8,9,1,787,0,966,595288961,903903030,0,0
12:49:21.859056968,4000,5000,4,12,1,787,0,975,602216490,913853739,0,0
12:49:23.084328552,3000,5000,8,11,1,787,0,981,606979776,920567425,0,0
12:49:24.254048565,4000,6000,7,7,1,787,0,990,613701640,930113370,0,0
12:49:25.283731684,3000,5000,7,14,1,787,0,998,621401765,941058417,0,0
12:49:26.343281072,4000,6000,7,13,1,787,0,1010,630281915,952525298,0,0
12:49:27.371570608,3000,5000,7,8,1,787,0,1018,636687009,960583923,0,0
12:49:28.428830477,4000,6000,9,11,1,787,0,1028,644845841,971745640,0,0
12:49:29.459327361,4000,5000,4,14,1,787,0,1036,650618846,979937288,0,0
12:49:30.488557297,5000,6000,6,13,1,787,0,1042,656397671,986964924,0,0
12:49:31.516633477,4000,6000,6,7,1,787,0,1052,664089602,997452862,0,0
12:49:32.546383873,5000,7000,10,12,1,787,0,1058,669363156,1003458170,0,0
12:49:33.568604367,4000,6000,5,8,1,787,0,1066,676090014,1012572457,0,0
12:49:34.589152919,5000,7000,7,10,1,787,0,1074,682880245,1022428253,0,0
12:49:35.677416792,4000,6000,8,11,1,787,0,1083,690054237,1031593605,0,0
12:49:36.745289305,5000,5000,3,10,1,787,0,1092,699022792,1042323097,0,0
12:49:38.234894069,6000,7000,5,12,1,787,0,1105,708255419,1054536020,0,16
12:49:39.299660764,4000,7000,1,0,1,787,0,1108,710750652,1058444632,0,0
12:49:40.337815819,5000,8000,5,13,1,787,0,1118,717824869,1067487925,0,0
12:49:41.367333567,3000,6000,2,11,1,787,0,1125,724843559,1076934658,0,0
12:49:42.496762035,4000,7000,8,13,1,787,0,1134,732732365,1087001677,0,0
12:49:43.718005390,3000,5000,7,9,1,787,0,1146,740663306,1097913155,0,0
12:49:44.843209234,2000,3000,5,12,1,787,0,1156,748986131,1109460363,0,0
