usr,sys,idl,wai,stl,read,writ,recv,send,in,out,int,csw,Start,repl8,repl9,rticket,wticket,ocursors,aconn,pf,memo,dd,bytescurrentused,readq,writeq,,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb,,yread,ytot,ywrite,srread,srtot,srwrite,ssread,sstot,sswrite,elread,eltot,elwrite,opread,optot,opwrite,time,,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb,,yread,ytot,ywrite,srread,srtot,srwrite,ssread,sstot,sswrite,elread,eltot,elwrite,opread,optot,opwrite,time
4,1,87,8,0,723k,1601k,0,0,0,0,2748,6139,12:47:52.251388814,0,0,1,0,1,804,0,216,63013107,102660368,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1,1.96G,216M,557b,39.1k,14,rs0,PRI,47:38.3,1,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:27Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,558b,38.9k,10,rs0,SEC,47:46.1,1,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:17Z
0,0,100,0,0,0,0,66B,0,0,0,278,422,12:47:53.181078298,0,0,1,0,1,804,0,216,63013107,102660368,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,1.02k,39.7k,14,rs0,PRI,47:39.3,1,0,4,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:28Z,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,1.08k,40.0k,10,rs0,SEC,47:47.1,1,0,4,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:18Z
0,0,100,0,0,0,0,0,0,0,0,194,320,12:47:54.104377588,0,0,1,0,1,804,0,216,63013107,102660368,0,0,2,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0,1.96G,216M,5.01k,41.5k,14,rs0,PRI,47:40.3,1,0,6,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:29Z,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,500b,38.2k,10,rs0,SEC,47:48.1,1,0,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:19Z
0,0,100,0,0,0,28k,0,0,0,0,261,419,12:47:55.031195071,0,0,1,0,1,804,0,216,63013107,102660368,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,1.02k,39.7k,14,rs0,PRI,47:41.3,1,0,4,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:30Z,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,1.02k,39.3k,10,rs0,SEC,47:49.1,1,0,3,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:20Z
0,0,100,0,0,0,32k,0,0,0,0,437,763,12:47:55.957064696,0,0,1,0,1,804,0,216,63013107,102660368,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,499b,38.5k,14,rs0,PRI,47:42.3,1,0,1,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:31Z,4,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0,1.96G,190M,3.13k,40.4k,10,rs0,SEC,47:50.1,1,0,4,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:21Z
0,0,99,0,0,0,0,722B,1806B,0,0,521,827,12:47:56.875495403,0,0,1,0,1,804,0,216,63013107,102660368,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,1.02k,39.7k,14,rs0,PRI,47:43.3,1,0,4,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:32Z,5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,1.02k,39.4k,10,rs0,SEC,47:51.1,1,0,4,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:22Z
0,0,100,0,0,0,152k,358B,388B,0,0,279,422,12:47:57.796768378,0,0,1,0,1,804,0,216,63013107,102660368,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,554b,39.2k,14,rs0,PRI,47:44.3,1,0,2,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:33Z,6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,500b,38.2k,10,rs0,SEC,47:52.1,1,0,2,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:23Z
0,0,100,0,0,0,0,0,0,0,0,288,495,12:47:58.726127480,0,0,1,0,1,804,0,216,63013107,102660577,0,0,7,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0,1.96G,216M,3.28k,41.2k,14,rs0,PRI,47:45.3,1,0,6,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:34Z,7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,1.08k,40.1k,10,rs0,SEC,47:53.1,1,0,5,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:24Z
0,0,100,0,0,0,28k,0,0,0,0,235,385,12:47:59.653568002,10000,10000,1,0,1,804,0,216,63013107,102660577,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,499b,38.4k,14,rs0,PRI,47:46.3,1,0,1,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:35Z,8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,499b,38.1k,10,rs0,SEC,47:54.1,1,0,1,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:25Z
0,0,100,0,0,0,0,0,0,0,0,347,556,12:48:00.576055630,10000,10000,1,0,1,804,0,216,63013107,102660577,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,1.14k,41.2k,14,rs0,PRI,47:47.3,1,0,6,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:36Z,9,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0,1.96G,190M,2.40k,41.2k,10,rs0,SEC,47:55.1,1,0,6,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:26Z
0,0,100,0,0,0,0,196B,130B,0,0,230,389,12:48:01.503945709,0,0,1,0,1,804,0,216,63013107,102660577,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,499b,38.5k,14,rs0,PRI,47:48.3,1,0,1,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:37Z,10,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,499b,38.1k,10,rs0,SEC,47:56.1,1,0,1,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:27Z
0,0,100,0,0,0,56k,592B,1742B,0,0,545,823,12:48:02.441003269,0,0,1,0,1,804,0,216,63013107,102660577,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,1.02k,39.7k,14,rs0,PRI,47:49.3,1,0,3,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:38Z,11,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,1.08k,40.1k,10,rs0,SEC,47:57.1,1,0,5,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:28Z
