insert,query,update,delete,getmore,command,dirty,used,flushes,vsize,res,qrw,arw,net_in,net_out,conn,set,repl,time
*0,*0,*0,*0,0,2|0,0.00%,0.70%,1,1.96G,216M,0|0,1|0,557b,39.1k,14,rs0,PRI,47:38.3
*0,*0,*0,*0,0,4|0,0.00%,0.70%,0,1.96G,216M,0|0,1|0,1.02k,39.7k,14,rs0,PRI,47:39.3
*0,*0,*0,*0,2,6|0,0.00%,0.70%,0,1.96G,216M,0|0,1|0,5.01k,41.5k,14,rs0,PRI,47:40.3
*0,*0,*0,*0,0,4|0,0.00%,0.70%,0,1.96G,216M,0|0,1|0,1.02k,39.7k,14,rs0,PRI,47:41.3
*0,*0,*0,*0,0,1|0,0.00%,0.70%,0,1.96G,216M,0|0,1|0,499b,38.5k,14,rs0,PRI,47:42.3
*0,*0,*0,*0,0,4|0,0.00%,0.70%,0,1.96G,216M,0|0,1|0,1.02k,39.7k,14,rs0,PRI,47:43.3
*0,*0,*0,*0,0,2|0,0.00%,0.70%,0,1.96G,216M,0|0,1|0,554b,39.2k,14,rs0,PRI,47:44.3
*0,*0,*0,*0,1,6|0,0.00%,0.70%,0,1.96G,216M,0|0,1|0,3.28k,41.2k,14,rs0,PRI,47:45.3
*0,*0,*0,*0,0,1|0,0.00%,0.70%,0,1.96G,216M,0|0,1|0,499b,38.4k,14,rs0,PRI,47:46.3
*0,*0,*0,*0,0,6|0,0.00%,0.70%,0,1.96G,216M,0|0,1|0,1.14k,41.2k,14,rs0,PRI,47:47.3
*0,*0,*0,*0,0,1|0,0.00%,0.70%,0,1.96G,216M,0|0,1|0,499b,38.5k,14,rs0,PRI,47:48.3
*0,*0,*0,*0,0,3|0,0.00%,0.70%,0,1.96G,216M,0|0,1|0,1.02k,39.7k,14,rs0,PRI,47:49.3
*0,*0,*0,*0,2,6|0,0.00%,0.70%,0,1.96G,216M,0|0,1|0,5.01k,41.5k,14,rs0,PRI,47:50.3
