ns,total,read,write,time
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:27Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:27Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:27Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:27Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:27Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:27Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:27Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:27Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:27Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:27Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:28Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:28Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:28Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:28Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:28Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:28Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:28Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:28Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:28Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:28Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:29Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:29Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:29Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:29Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:29Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:29Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:29Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:29Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:29Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:29Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:30Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:30Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:30Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:30Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:30Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:30Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:30Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:30Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:30Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:30Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:31Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:31Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:31Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:31Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:31Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:31Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:31Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:31Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:31Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:31Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:32Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:32Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:32Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:32Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:32Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:32Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:32Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:32Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:32Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:32Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:33Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:33Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:33Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:33Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:33Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:33Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:33Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:33Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:33Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:33Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:34Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:34Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:34Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:34Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:34Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:34Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:34Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:34Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:34Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:34Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:35Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:35Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:35Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:35Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:35Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:35Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:35Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:35Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:35Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:35Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:36Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:36Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:36Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:36Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:36Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:36Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:36Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:36Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:36Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:36Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:37Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:37Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:37Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:37Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:37Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:37Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:37Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:37Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:37Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:37Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:38Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:38Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:38Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:38Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:38Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:38Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:38Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:38Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:38Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:38Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:39Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:39Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:39Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:39Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:39Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:39Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:39Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:39Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:39Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:39Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:40Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:40Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:40Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:40Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:40Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:40Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:40Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:40Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:40Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:40Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:41Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:41Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:41Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:41Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:41Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:41Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:41Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:41Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:41Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:41Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:42Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:42Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:42Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:42Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:42Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:42Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:42Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:42Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:42Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:42Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:43Z
