,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb
0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,1.83k,36.4k,8,rs0,SEC,59:11.4,1,0,2,0,0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,523b,35.4k,8,rs0,SEC,59:12.4,1,0,2,0,0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,523b,35.5k,8,rs0,SEC,59:13.4,1,0,2,0,0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,523b,35.4k,8,rs0,SEC,59:14.4,1,0,2,0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,522b,35.4k,8,rs0,SEC,59:15.4,1,0,1,0,0,0
5,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0,1.99G,210M,3.15k,37.7k,8,rs0,SEC,59:16.4,1,0,4,0,0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,522b,35.4k,8,rs0,SEC,59:17.4,1,0,1,0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,522b,35.4k,8,rs0,SEC,59:18.4,1,0,1,0,0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,523b,35.5k,8,rs0,SEC,59:19.4,1,0,2,0,0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,580b,36.1k,8,rs0,SEC,59:20.4,1,0,2,0,0,0
10,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0,1.99G,210M,1.84k,36.5k,8,rs0,SEC,59:21.4,1,0,3,0,0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,523b,35.4k,8,rs0,SEC,59:22.4,1,0,2,0,0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,1.69k,41.6k,10,rs0,SEC,59:23.4,1,0,7,0,0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,758b,38.6k,10,rs0,SEC,59:24.4,1,0,2,0,0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,761b,38.8k,10,rs0,SEC,59:25.4,1,0,3,0,0,0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0,1.99G,210M,3.38k,40.9k,10,rs0,SEC,59:26.4,1,0,4,0,0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:27.4,1,0,3,0,0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:28.4,1,0,3,0,0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:29.4,1,0,3,0,0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,816b,39.3k,10,rs0,SEC,59:30.4,1,0,3,0,0,0
20,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0,1.99G,210M,2.07k,39.7k,10,rs0,SEC,59:31.4,1,0,4,0,0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,761b,38.8k,10,rs0,SEC,59:32.4,1,0,3,0,0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,817b,39.4k,10,rs0,SEC,59:33.4,1,0,3,0,0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:34.4,1,0,3,0,0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:35.4,1,0,3,0,0,0
25,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0,1.99G,210M,3.38k,40.8k,10,rs0,SEC,59:36.4,1,0,4,0,0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:37.4,1,0,3,0,0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,759b,38.7k,10,rs0,SEC,59:38.4,1,0,2,0,0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:39.4,1,0,3,0,0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,818b,39.4k,10,rs0,SEC,59:40.4,1,0,4,0,0,0
30,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0,1.99G,210M,2.07k,39.7k,10,rs0,SEC,59:41.4,1,0,4,0,0,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,759b,38.7k,10,rs0,SEC,59:42.4,1,0,2,0,0,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,818b,39.4k,10,rs0,SEC,59:43.4,1,0,4,0,0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:44.4,1,0,3,0,0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,759b,38.6k,10,rs0,SEC,59:45.4,1,0,2,0,0,0
35,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0,1.99G,210M,3.39k,40.9k,10,rs0,SEC,59:46.4,1,0,5,0,0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,759b,38.7k,10,rs0,SEC,59:47.4,1,0,2,0,0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,759b,38.6k,10,rs0,SEC,59:48.4,1,0,2,0,0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,761b,38.8k,10,rs0,SEC,59:49.4,1,0,3,0,0,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,817b,39.4k,10,rs0,SEC,59:50.4,1,0,3,0,0,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,2.07k,39.7k,10,rs0,SEC,59:51.4,1,0,3,0,0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:52.4,1,0,3,0,0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,817b,39.4k,10,rs0,SEC,59:53.4,1,0,3,0,0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,759b,38.7k,10,rs0,SEC,59:54.4,1,0,2,0,0,0
44,0.0,0.0,258.0,0.0,28.0,0.1,0.8,0,1.99G,218M,41.0k,108k,10,rs0,SEC,59:55.5,2,0,34,0,0,3
45,0.0,0.0,138.0,0.0,3.0,0.1,0.8,0,2.02G,228M,3.68k,84.8k,10,rs0,SEC,59:57.1,3,0,3,0,0,12
46,0.0,0.0,217.0,0.0,3.0,0.1,0.9,0,2.02G,238M,5.78k,88.7k,10,rs0,SEC,59:58.4,2,0,6,0,0,6
47,0.0,0.0,249.0,0.0,4.0,0.2,1.0,0,2.02G,249M,8.12k,130k,10,rs0,SEC,59:59.4,3,0,8,0,0,14
48,0.0,0.0,128.0,0.0,1.0,0.3,1.1,0,2.04G,268M,1.51k,57.0k,10,rs0,SEC,00:01.9,2,0,2,0,0,16
49,0.0,0.0,425.0,0.0,2.0,0.1,1.2,1,2.07G,291M,5.22k,168k,10,rs0,SEC,00:03.6,1,0,7,0,0,1
50,0.0,0.0,248.0,0.0,1.0,0.3,1.4,0,2.10G,321M,2.10k,91.3k,10,rs0,SEC,00:05.6,2,0,4,0,0,16
51,0.0,0.0,234.0,0.0,1.0,0.3,1.5,0,2.10G,332M,1.99k,85.8k,10,rs0,SEC,00:08.8,2,0,2,0,0,16
52,0.0,0.0,67378.0,0.0,169.0,0.5,1.7,0,2.13G,365M,479k,24.3m,10,rs0,SEC,00:08.9,2,0,732,0,0,1
53,0.0,0.0,96.0,0.0,0.0,0.5,1.8,0,2.14G,373M,574b,15.5k,10,rs0,SEC,00:11.5,1,0,1,0,0,10
54,0.0,0.0,1433.0,0.0,7.0,0.7,1.9,0,2.16G,393M,8.66k,642k,10,rs0,SEC,00:12.0,2,0,14,0,0,12
55,0.0,0.0,99.0,0.0,1.0,0.7,2.0,0,2.19G,400M,1.36k,33.6k,10,rs0,SEC,00:13.9,2,0,1,0,0,3
56,0.0,0.0,168.0,0.0,1.0,0.8,2.0,0,2.19G,413M,2.09k,85.8k,10,rs0,SEC,00:16.0,2,0,3,0,0,15
57,0.0,0.0,409.0,0.0,2.0,0.9,2.2,0,2.20G,436M,6.73k,154k,10,rs0,SEC,00:17.7,1,0,8,0,0,15
58,0.0,0.0,419.0,0.0,4.0,0.9,2.3,0,2.20G,444M,4.84k,190k,10,rs0,SEC,00:18.6,1,0,6,0,0,7
59,0.0,0.0,16837.0,0.0,71.0,0.9,2.3,0,2.20G,444M,149k,8.52m,10,rs0,SEC,00:18.6,1,0,287,0,0,0
60,0.0,0.0,138.0,0.0,0.0,1.2,2.6,0,2.25G,488M,2.34k,11.8k,10,rs0,SEC,00:22.0,2,0,2,0,0,16
61,0.0,0.0,580.0,0.0,0.0,1.2,2.6,0,2.25G,493M,1.80k,255k,10,rs0,SEC,00:24.2,2,0,4,0,0,16
62,0.0,0.0,121240.0,0.0,1139.0,1.3,2.7,0,2.26G,503M,641k,50.8m,10,rs0,SEC,00:24.2,1,0,1367,0,0,0
63,0.0,0.0,0.0,0.0,5.0,1.3,2.7,0,2.26G,503M,3.37k,188k,10,rs0,SEC,00:24.4,1,0,5,0,0,0
64,0.0,0.0,0.0,0.0,0.0,1.3,2.7,0,2.26G,503M,2.07k,39.8k,10,rs0,SEC,00:25.4,1,0,3,0,0,0
65,0.0,0.0,52.0,0.0,0.0,1.3,2.7,0,2.27G,510M,1.14k,10.2k,10,rs0,SEC,00:29.4,2,0,1,0,0,1
66,0.0,0.0,564.0,0.0,0.0,1.5,3.0,0,2.30G,546M,2.80k,217k,10,rs0,SEC,00:31.6,2,0,4,0,0,13
67,0.0,0.0,198.0,0.0,1.0,1.7,3.2,0,2.33G,573M,813b,75.1k,10,rs0,SEC,00:35.1,3,0,1,0,0,6
68,0.0,0.0,434.0,0.0,1.0,1.9,3.3,0,2.37G,596M,3.20k,149k,10,rs0,SEC,00:38.0,2,0,4,0,0,9
69,0.0,0.0,12157.0,0.0,72.0,1.9,3.4,0,2.37G,607M,96.8k,4.49m,10,rs0,SEC,00:38.1,1,0,145,0,0,2
